"","comicName","comicSum","comicGrade"
"285","스왓걸스","특수경찰대 [스왓]의 여성들로만 이루어진 스왓걸스의 이야기","9.66"
"286","헤라디아","4인 파티의 모험","8.81"
"287","My OH","개성만점 학생들의 오케스트라 만들기","9.78"
"288","달리자, 콜롬비아!","콜롬비아로 떠나자!","9.78"
"289","유피씨의 그림일기","그냥 별거없는 유피 이야기","9.53"
"290","소꿉친구","소꿉친구 러브 스토리","9.75"
"291","RED STORM","환타지 액션 활극","9.56"
"292","인형의주인","천하라는 가상의 대륙을 유랑하는 인형의 유랑기","9.25"
"293","스퓨메어:연기처럼 사라지다","연기처럼 사라지다.","9.73"
"294","항문미남 랩소디","세상 무엇 보다 아름다운 항문을 가진 남자의 이야기","9.75"
"295","미친G (미숙한친구는G구인)","매우평범한개그","9.77"
"296","허당견라이푸 새미","아방강아지 새미의 속 빈 생활","8.79"
"297","몬스터 삼국지","삼국지 세계에 몬스터가 나타났다.","9.26"
"298","트론즈","날개 이야기","9.75"
"299","돈까스","돈 못쓰는 남자 & 까다로운 여자의 러브 스토리","9.69"
"300","성형애인","그녀가 성형을!?","9.73"
"301","[월이의] 언니다님의 살빠지는 세상","20만 네티즌 트레이너와 함께하는 언니의 다이어트 프로젝트!!!!","9.71"
"302","데스티니","안죽어요","9.81"
"303","코스튬 플레이어 - 란","다른 누구보다 캐릭터 소화력이 뛰어난 '하소연'이 코스튬 플레이를 하면서 겪는 좌충우돌 팡팡 튀는 이야기~!","9.76"
"304","위로","취하여라. 술에건, 시에건, 그 무엇에건 다만 취하여라.","9.69"
"305","올리브스쿨(Olive school)","판타지 학원라이프.","9.77"
"306","NIHIL DANT","그들의 평범하지 않은 이야기","9.82"
"307","기사도","액션스릴러!   강도를 잡아야만 하는 나는 도둑이다!","9.76"
"308","5일의 기적","기간은 5일 그 안에 사랑과 돈을 쟁취하라","9.78"
"309","알바생생","알바생의 생생한 알바스토리. 실수 많은 시급 4,580원짜리 에피소드 인생!","9.55"
"310","코코랄라 육아일기","코코의 랄라라~ 신나는 육아웹툰","9.65"
"311","지나툰","지나의 일상이야기","9.46"
"312","당신과 나의 귀한 만남","용의 대지를 찾아서 떠나는 이야기","7.77"
"313","이리안경점","조금은 특별한","9.78"
"314","지박령 브레이크","지박령이 탈옥했다!","9.79"
"315","우리동네 세일러문","우리동네 세일러문과 친구들이야기","9.40"
"316","방랑 청춘기","세명의 청춘거지들의 일상 들여다보기","9.34"
"317","샤이닝걸","전직 마법소녀들이 마법 아줌마로 뭉쳤다?!","9.76"
"318","기타맨","기타맨 포츠만이 힘겹게 살아가는 우리를 위로해 준다!!","9.78"
"319","향일화","죄송합니다.","9.78"
"320","아이들의 권 선생님","어른과 아이.","9.79"
"321","아는사람 이야기","소소한 연애담","9.78"
"322","지구인","멈춰버린 사람들","9.77"
"323","굿바이 엔젤","은근한 스릴러임","9.75"
"324","아레나걸스","소녀 검투사 데바의 극한대결!!!","9.74"
"325","좀비의 순정","좀비의 순정","9.55"
"326","블래비","소울래빗 블래비","9.71"
"327","파이브 소울","다중인격소년 이야기","9.62"
"328","좀비를 위한 나라는 없다","좀비를 위한 나라는 없다","9.66"
"329","둥근해가떴습니다","고기좋은만화","9.77"
"330","Natural Born Idiots","선천적 얼간이들","9.79"
"331","귀예록","끝나버린 인연을 자르는 자. 어느 귀백의 이야기.","9.79"
"332","고렘 소환사","SF환탄지 스토리","8.96"
"333","「 사랑中.. 」","준서랑 연이랑 알콩달콩","9.77"
"334","여름소년","동화같은 사랑이야기","9.62"
"335","소똥","계동리에 사는 억순이의 이야기","9.39"
"336","더 게임","밀실게임 가위바위보","9.70"
"337","은희공방","공감이야기","9.41"
"338","창공의 벨로보그","SF 배틀 액션","9.70"
"339","낭만 house","그럼에도 우리는 이곳에 모였다.","9.75"
"340","콤플렉스","그들&당신의 이야기","9.79"
"341","햄스케치","햄스케치","9.33"
"342","리치+리치","리치가된 만화가","9.78"
"343","모두에게 완자가","동성애 일상툰","9.72"
"344","능능","여캐와 남캐 비율을 5:5로 맞추고 싶은 만화","9.78"
"345","망고맘보","당신의 메마른 인성을 촉촉히 적셔줄 유쾌 상쾌 휴머니즘 코믹스 망고맘보","9.75"
"346","인디뽀뽀요","슈슈네 가족이 전하는 따뜻한 사랑이야기.","9.59"
"347","MASQUE","추리스릴러 마스크","9.76"
"348","라이트닝 플로우","능력자싸움","9.60"
"349","The Hole","the hole","9.77"
"350","하리랑에그타르트","빵집노예","9.90"
"351","사랑사랑사랑","사랑에 웃고 사랑에 울고...그래도 사랑을 한다.","9.84"
"352","The R.R.H","빨간모자","9.76"
"353","NoNameD","미스테리학원스릴러","9.78"
"354","GO","GO","9.72"
"355","[글레이저]","거울속의나는왼손잡이오 내악수를받을줄모르는-악수를모르는왼손잡이오","9.64"
"356","라면이야기","후루룩~ 라면이야기! 배고파진다...","9.54"
"357","땅의 기록","민담 판타지","9.78"
"358","애정만사","만가지의 사랑이야기...","8.46"
"359","궁극 고등학교","엘리트한 학생들이 온다!","9.27"
"360","네셔널 지오캠퍼스","동물들의 대학 생활!","9.78"
"361","난 누군가 또 여긴 어딘가","옹아리의 모험기","9.63"
"362","언노운 - (Unknown)","현자 쟁탈전","8.78"
"363","경계 界","진정한 한국형 도시요괴액션판타지!!","9.66"
"364","사우나토크","사각의 사우나 안에서 다섯 남자가 말하는 뻘소리","9.68"
"365","요괴의 순정만화","요괴의 순정","9.58"
